number,title,start,end,text,chunk_id,embedding
1,Installing VS Code & How Websites Work,65.0,67.0, I will teach you as much as you want to learn.,17,"[-0.04268341 -0.00095615 -0.03206029 ... -0.03272852 -0.01779886
  0.05370919]"
1,Installing VS Code & How Websites Work,67.0,70.0, I will tell you the course content in a few days.,18,"[-0.0135363   0.01456787 -0.03844497 ... -0.0188599  -0.02433805
 -0.02553031]"
1,Installing VS Code & How Websites Work,70.0,73.0, But you keep faith that you will become a full stack developer.,19,"[-0.03688037  0.00108491 -0.04557371 ... -0.0094108  -0.02302368
  0.05275646]"
1,Installing VS Code & How Websites Work,73.0,76.0, In the future you will be given a lot of projects during the course.,20,"[-0.03680382  0.00939795 -0.03709122 ...  0.01275123 -0.02103231
  0.0075567 ]"
1,Installing VS Code & How Websites Work,76.0,82.5, And in the end you will make some good projects so that you can become very strong on web development.,21,"[-0.04478558  0.02045056 -0.01206152 ...  0.00192396 -0.02542635
 -0.01487891]"
1,Installing VS Code & How Websites Work,82.5,86.5," According to me, project based learning is the best way to learn.",22,"[-0.03748282 -0.00430777 -0.00773591 ... -0.02924513 -0.02157931
 -0.02694859]"
1,Installing VS Code & How Websites Work,86.5,88.5, So I will make you a lot of projects.,23,"[-0.03862108  0.01123821 -0.01909834 ... -0.01567593 -0.01952791
  0.01323471]"
1,Installing VS Code & How Websites Work,88.5,91.5, And if you agree then write in the comment section below.,24,"[-0.04434492  0.0181088  -0.03268002 ...  0.0217039  -0.02384416
  0.04270489]"
1,Installing VS Code & How Websites Work,91.5,94.5," Because when you comment, my face gets a smile.",25,"[-0.05882284  0.00098642 -0.03284518 ...  0.00508616 -0.02734767
 -0.00207594]"
1,Installing VS Code & How Websites Work,94.5,95.5, So do comment.,26,"[-0.04734805  0.0221213  -0.03235682 ... -0.01768734 -0.00992414
  0.03966141]"
1,Installing VS Code & How Websites Work,95.5,101.5," I want to give you the trust that after finishing this course, you can make any kind of website from the beginning to the end.",27,"[-0.02784169  0.0077465  -0.01185252 ... -0.01744208 -0.04150477
  0.01826803]"
1,Installing VS Code & How Websites Work,101.5,107.5," And during this course, I will make a lot of websites like this so that your confidence will go up a lot.",28,"[-0.03461048  0.01740435 -0.02942836 ... -0.01056433  0.0052623
 -0.00697761]"
1,Installing VS Code & How Websites Work,107.5,111.5, So let's start with our first video of our Sigma web development course.,29,"[-0.07028951  0.00594562 -0.00902753 ... -0.0263265   0.00313973
 -0.01895949]"
1,Installing VS Code & How Websites Work,111.5,112.5, Let's roll the intro.,30,"[-0.02434869  0.05615902 -0.04571554 ... -0.01875537  0.00569045
 -0.03034015]"
1,Installing VS Code & How Websites Work,121.5,124.5," Alright guys, I have come to my computer screen.",31,"[ 0.00375695  0.0078064  -0.07151189 ... -0.00675637 -0.01205539
 -0.0051114 ]"
1,Installing VS Code & How Websites Work,124.5,127.5, And now follow me as I am doing.,32,"[-0.02607855  0.04169571 -0.07506395 ... -0.0283533  -0.041706
  0.02367617]"
1,Installing VS Code & How Websites Work,127.5,129.5, I have downloaded Google Chrome browser here.,33,"[-0.03699472  0.00756619 -0.05276249 ... -0.00077411 -0.05899648
 -0.01623607]"
1,Installing VS Code & How Websites Work,129.5,131.5, You also download Google Chrome browser.,34,"[-0.04789545  0.03277818 -0.04534681 ... -0.00232657 -0.06783058
 -0.04745455]"
1,Installing VS Code & How Websites Work,131.5,132.5," I am not saying this, it won't work.",35,"[-0.01045442  0.05858356 -0.06348533 ...  0.00405036 -0.01391995
 -0.02812386]"
1,Installing VS Code & How Websites Work,132.5,136.5, But you have to do exactly what I am doing here.,36,"[-0.01781275  0.02399638 -0.05615475 ... -0.01184932 -0.04022298
  0.04015588]"
1,Installing VS Code & How Websites Work,136.5,139.5, So here we will follow exactly what I am doing.,37,"[-0.01814214  0.0150947  -0.0587828  ... -0.02368135 -0.03244395
  0.01596233]"
1,Installing VS Code & How Websites Work,139.5,143.5," And along with that, you will be able to follow exactly what I am doing here.",38,"[-0.02424679  0.0228619  -0.04387223 ... -0.01462343 -0.03109334
  0.02507775]"
1,Installing VS Code & How Websites Work,143.5,148.5, I will go to Google and I will write down download VS Code.,39,"[-0.06875394 -0.01867114 -0.0496823  ...  0.01499998 -0.03788497
 -0.03709644]"
1,Installing VS Code & How Websites Work,148.5,149.5, Now what is VS Code?,40,"[-0.04587086 -0.01930693 -0.033615   ...  0.01354643  0.02180648
 -0.00491412]"
1,Installing VS Code & How Websites Work,149.5,152.5, VS Code is a source code editor.,41,"[-0.03693984 -0.02017118 -0.03828978 ...  0.01916507 -0.01066075
  0.0051073 ]"
1,Installing VS Code & How Websites Work,152.5,154.5," If you are in Windows, I will click on Windows.",42,"[-0.0417833   0.01769552 -0.03056844 ... -0.02290267 -0.00043432
 -0.02979033]"
1,Installing VS Code & How Websites Work,154.5,163.5," If you are in Mac, Linux or any other operating system, then you can download it for that strange operating system.",43,"[-3.3636224e-02 -4.1815765e-05 -4.2191144e-02 ...  7.3130330e-03
 -2.4333370e-02 -9.8567060e-04]"
1,Installing VS Code & How Websites Work,163.5,165.5, And the process is exactly the same.,44,"[-0.03431676  0.03995412 -0.05839569 ...  0.01395758  0.00705108
  0.04578174]"
1,Installing VS Code & How Websites Work,165.5,170.5," You can see that in the folder where I downloaded, there is a VS Code.",45,"[-0.04963183 -0.02410189 -0.06412191 ...  0.00092531 -0.01647601
 -0.01066274]"
1,Installing VS Code & How Websites Work,170.5,174.5," And as you can see here, this setup has been downloaded.",46,"[-0.0048658   0.01695318 -0.07553618 ... -0.00487837 -0.00022446
  0.02358527]"
1,Installing VS Code & How Websites Work,174.5,175.5, I will refresh here.,47,"[-0.02442691  0.03254952 -0.04522291 ... -0.01021832 -0.00050752
  0.00365072]"
1,Installing VS Code & How Websites Work,175.5,180.5, And here you can see that I can double click on VS Code's setup and install it.,48,"[-0.04009986 -0.00912084 -0.03637846 ...  0.00273012  0.00508833
 -0.02261507]"
1,Installing VS Code & How Websites Work,180.5,182.5," So simply, you have to install VS Code.",49,"[-0.0440563   0.00862505 -0.02569933 ...  0.02515247 -0.02556805
 -0.00604396]"
1,Installing VS Code & How Websites Work,182.5,184.5, Install the game as easy as possible.,50,"[-0.00754441  0.01588478 -0.07521231 ...  0.00372253 -0.03738494
 -0.04124016]"
1,Installing VS Code & How Websites Work,184.5,185.5, You can quickly agree here.,51,"[ 0.0089995   0.03820382 -0.04950397 ...  0.00955146 -0.03342183
  0.02017935]"
1,Installing VS Code & How Websites Work,185.5,186.5, This lies in the slide.,52,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,186.5,187.5, This lies in the slide.,53,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,187.5,188.5, This lies in the slide.,54,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,188.5,189.5, This lies in the slide.,55,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,189.5,190.5, This lies in the slide.,56,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,190.5,191.5, This lies in the slide.,57,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,191.5,192.5, This lies in the slide.,58,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,192.5,193.5, This lies in the slide.,59,"[-0.03184358  0.02646041 -0.08143674 ...  0.00121011  0.00505957
  0.02466921]"
1,Installing VS Code & How Websites Work,193.5,195.5, And I am the fastest reader in the world.,60,"[-0.01614975  0.05422559 -0.01083608 ...  0.00198943 -0.04928627
  0.03299285]"
1,Installing VS Code & How Websites Work,195.5,196.5, I will do it.,61,"[-0.02035977  0.04770689 -0.03717135 ... -0.01705635 -0.05492111
  0.01894974]"
1,Installing VS Code & How Websites Work,196.5,197.5, I will do it.,62,"[-0.02035977  0.04770689 -0.03717135 ... -0.01705635 -0.05492111
  0.01894974]"
1,Installing VS Code & How Websites Work,197.5,198.5, I will do it.,63,"[-0.02035977  0.04770689 -0.03717135 ... -0.01705635 -0.05492111
  0.01894974]"
1,Installing VS Code & How Websites Work,198.5,199.5, I will do it.,64,"[-0.02035977  0.04770689 -0.03717135 ... -0.01705635 -0.05492111
  0.01894974]"
1,Installing VS Code & How Websites Work,199.5,200.5, I will do it.,65,"[-0.02035977  0.04770689 -0.03717135 ... -0.01705635 -0.05492111
  0.01894974]"
1,Installing VS Code & How Websites Work,200.5,201.5, I will do it.,66,"[-0.02035977  0.04770689 -0.03717135 ... -0.01705635 -0.05492111
  0.01894974]"
1,Installing VS Code & How Websites Work,201.5,203.5, It is important here to check both the icons.,67,"[-0.00800121  0.01284968 -0.0623245  ...  0.00727199  0.01125877
 -0.02070694]"
1,Installing VS Code & How Websites Work,203.5,204.5, Check both the icons.,68,"[-0.01005452 -0.0102015  -0.05997858 ...  0.00207233  0.02099218
 -0.03203627]"
1,Installing VS Code & How Websites Work,204.5,206.5, It is very important to check it.,69,"[-0.00835834  0.04250321 -0.05356462 ... -0.00714737 -0.02060826
  0.00410143]"
1,Installing VS Code & How Websites Work,206.5,212.5," If you want desktop shortcuts, that is, if you want to get a shortcut in the desktop,",70,"[-0.03053942  0.02509749 -0.04541045 ...  0.01029967 -0.02042352
 -0.01221658]"
1,Installing VS Code & How Websites Work,212.5,214.5, then you can create a desktop icon.,71,"[-0.00387023  0.01977903 -0.03861586 ...  0.00472912 -0.01301271
 -0.0203185 ]"
1,Installing VS Code & How Websites Work,214.5,215.5, And then we will do it.,72,"[-0.0152236   0.06371847 -0.01739186 ... -0.00188409 -0.02832042
  0.01199996]"
1,Installing VS Code & How Websites Work,215.5,216.5, We will do it.,73,"[ 0.00381596  0.04973698 -0.02528718 ... -0.0032164  -0.04171773
  0.00733427]"
1,Installing VS Code & How Websites Work,216.5,217.5, We will install it.,74,"[-1.27865765e-02  2.92802200e-02 -5.07158500e-02 ... -1.18500760e-04
 -5.61667420e-02 -7.96577150e-05]"
1,Installing VS Code & How Websites Work,217.5,220.5," If your PC is fast like mine, then it will be so fast.",75,"[-0.05378316  0.01903179 -0.06030717 ... -0.01001554 -0.00735892
  0.0113952 ]"
1,Installing VS Code & How Websites Work,220.5,225.5," But if your PC is slow, then there is no problem.",76,"[-0.02325749 -0.00267816 -0.05167039 ...  0.00785209 -0.02046353
  0.02679451]"
1,Installing VS Code & How Websites Work,225.5,227.5," So, it will be a little slow.",77,"[-0.03063516  0.03081267 -0.05866498 ... -0.00280902 -0.04468465
  0.02351956]"
1,Installing VS Code & How Websites Work,227.5,228.5, Nothing more will happen.,78,"[ 0.02036713  0.01231929 -0.05097155 ...  0.01893856 -0.0211176
  0.02190821]"
1,Installing VS Code & How Websites Work,228.5,231.5," Now, I will recommend you to subscribe to the channel.",79,"[-0.04541393  0.00997482 -0.05495243 ... -0.02743216  0.00068051
  0.03740011]"
1,Installing VS Code & How Websites Work,231.5,235.5, Because I want you to follow these videos.,80,"[-0.04014952 -0.01356988 -0.0537514  ... -0.00839942 -0.01381242
  0.0240494 ]"
1,Installing VS Code & How Websites Work,235.5,236.5, Like I have shown you in the video.,81,"[-0.02456185  0.02846331 -0.0770916  ... -0.00745923 -0.01541742
 -0.02612833]"
1,Installing VS Code & How Websites Work,236.5,237.5, You will get a notification.,82,"[-0.04729485  0.00543201 -0.05407376 ...  0.0126539  -0.04437637
 -0.00619961]"
1,Installing VS Code & How Websites Work,237.5,241.5," So, if you want to follow this course completely, ideally you should subscribe.",83,"[-0.05517506  0.01274727 -0.0302019  ...  0.01168007 -0.01991417
  0.08398894]"
1,Installing VS Code & How Websites Work,241.5,243.5," With that said, our VS code has been downloaded.",84,"[-0.02606094  0.01161142 -0.05470065 ...  0.02206995 -0.01128062
 -0.00381382]"
1,Installing VS Code & How Websites Work,243.5,245.5, I have opened the VS code.,85,"[-0.02959831  0.00059102 -0.05086116 ...  0.01615063 -0.01061004
  0.00417351]"
1,Installing VS Code & How Websites Work,245.5,246.5, Don't be afraid of this.,86,"[-0.00905168  0.02380439 -0.05621317 ...  0.01759165 -0.00139539
  0.00833398]"
1,Installing VS Code & How Websites Work,246.5,247.5," Beginners, don't be afraid of this.",87,"[-0.01289563  0.01009172 -0.07229384 ...  0.00870679 -0.000609
  0.0162142 ]"
1,Installing VS Code & How Websites Work,247.5,249.5, And I am saying this again.,88,"[-0.02924113  0.08192131 -0.03785001 ... -0.02788688  0.00717041
  0.00348801]"
1,Installing VS Code & How Websites Work,249.5,254.5," If you know something already, we are starting beginner friendly here in initial videos.",89,"[-0.00704629  0.01525674 -0.04918369 ... -0.00402282  0.01767203
 -0.0042203 ]"
1,Installing VS Code & How Websites Work,254.5,257.5, But we will raise the bar like anything in the upcoming videos.,90,"[ 0.0029286   0.012709   -0.04479396 ... -0.01142472  0.00123261
  0.0523162 ]"
1,Installing VS Code & How Websites Work,257.5,258.5," So, stay tuned.",91,"[-0.02598462  0.02193241 -0.06140014 ... -0.01458952  0.00622108
  0.02318682]"
1,Installing VS Code & How Websites Work,258.5,259.5, Hi.,92,"[-0.04070577  0.01711835 -0.03322595 ... -0.00220377 -0.03714088
  0.02763134]"
1,Installing VS Code & How Websites Work,259.5,263.5, I will request you to tell me in the comment section what is your level.,93,"[-0.06820016  0.00165163 -0.03896768 ... -0.04883606 -0.01393977
  0.03094261]"
1,Installing VS Code & How Websites Work,263.5,266.5, Beginner is advanced or intermediate user.,94,"[-0.00351715 -0.01439101 -0.05517919 ... -0.02873047  0.00779844
  0.00177326]"
1,Installing VS Code & How Websites Work,266.5,269.5, Tell me in the comment section where does web development come from.,95,"[-0.09092093 -0.01099624 -0.03994648 ...  0.00706536  0.0183839
 -0.00877715]"
1,Installing VS Code & How Websites Work,269.5,270.5, Beginner advanced intermediate.,96,"[-0.01437047  0.02167153 -0.03488624 ... -0.01035237  0.00181826
  0.0237646 ]"
1,Installing VS Code & How Websites Work,270.5,272.5," Please, you do comment this.",97,"[-0.03963274  0.02538629 -0.04904953 ... -0.00625674 -0.02711313
  0.03589705]"
1,Installing VS Code & How Websites Work,272.5,273.5," Now, what is VS code here?",98,"[-0.05032887 -0.00761025 -0.04667698 ...  0.0214624   0.02410083
  0.00923908]"
1,Installing VS Code & How Websites Work,273.5,274.5, I have downloaded it.,99,"[-0.01832601  0.0328034  -0.06669471 ... -0.00578474 -0.04551149
 -0.00596067]"
1,Installing VS Code & How Websites Work,274.5,275.5, Let's understand this.,100,"[-0.00429524  0.05561702 -0.03731189 ... -0.01057294  0.000435
 -0.01984809]"
1,Installing VS Code & How Websites Work,275.5,280.5," So, if you don't know what is VS code, let me tell you that VS code is a code editor.",101,"[-0.03591916 -0.0099773  -0.02590666 ...  0.0182359   0.01252632
 -0.0017044 ]"
1,Installing VS Code & How Websites Work,280.5,282.5, Which helps you to edit code.,102,"[-0.02985411  0.00435031 -0.0529097  ... -0.00541958 -0.01227514
 -0.01669409]"
1,Installing VS Code & How Websites Work,282.5,285.5," Now, you can edit Harry by code in the notepad.",103,"[-0.01386738 -0.00986142  0.01894732 ...  0.0348456  -0.00809333
  0.02670131]"
1,Installing VS Code & How Websites Work,285.5,287.5," So, yes, do it in the notepad.",104,"[-0.02911937  0.0033851  -0.00701231 ...  0.01594501 -0.02662988
  0.02804343]"
1,Installing VS Code & How Websites Work,287.5,288.5, It will be done in that too.,105,"[-0.02299738  0.0476317  -0.03825999 ...  0.02664551 -0.01082525
  0.05020097]"
1,Installing VS Code & How Websites Work,288.5,290.5," Yes, I am not doing it in the sarcastic way.",106,"[-0.02900098  0.00516122 -0.03284661 ... -0.01614785 -0.03272277
 -0.0092131 ]"
1,Installing VS Code & How Websites Work,290.5,291.5, It will be done in that too.,107,"[-0.02299738  0.0476317  -0.03825999 ...  0.02664551 -0.01082525
  0.05020097]"
1,Installing VS Code & How Websites Work,291.5,294.5, Let's set up here and show you what is in it.,108,"[-0.01361924  0.0048519  -0.06457285 ... -0.0141123  -0.00380938
 -0.02799639]"
1,Installing VS Code & How Websites Work,294.5,297.5, Which makes it a little different from notepad.,109,"[-0.0356358  -0.01623603 -0.04528474 ...  0.0244961  -0.02607768
 -0.03892466]"
1,Installing VS Code & How Websites Work,297.5,299.5," Look here, let's set up here.",110,"[ 0.00764509  0.02213564 -0.06086639 ... -0.00785911 -0.00280109
  0.00352279]"
1,Installing VS Code & How Websites Work,299.5,302.5, I will not browse from color themes here.,111,"[-0.02336889 -0.02884003 -0.05832417 ...  0.0047634   0.02398595
  0.01589548]"
1,Installing VS Code & How Websites Work,302.5,303.5," In fact, I will do it.",112,"[-0.01930746  0.0491511  -0.03322899 ... -0.01071588 -0.05620241
  0.02236811]"
1,Installing VS Code & How Websites Work,303.5,305.5, I will keep it dark modern.,113,"[-0.04532642  0.01386902 -0.04899798 ... -0.02461254 -0.05550681
 -0.0006847 ]"
1,Installing VS Code & How Websites Work,305.5,306.5, I will keep theme here.,114,"[-0.02600431  0.00912474 -0.04896695 ... -0.00122971 -0.00175732
  0.01050332]"
1,Installing VS Code & How Websites Work,306.5,308.5, And I have done all this in the next section.,115,"[ 0.02015802  0.03865144 -0.03652617 ...  0.03068844 -0.02520033
  0.05748654]"
1,Installing VS Code & How Websites Work,308.5,309.5," After this, in the next section.",116,"[-0.02659359  0.04448649 -0.02303112 ...  0.04327629  0.01432472
  0.01681865]"
1,Installing VS Code & How Websites Work,309.5,312.5, You can close the welcome if you want.,117,"[-0.03588718  0.0096616  -0.03632377 ...  0.00160206 -0.06708741
  0.04869232]"
1,Installing VS Code & How Websites Work,312.5,314.5," But first, I am telling you some tips here.",118,"[-0.03505086  0.02277798 -0.06730507 ... -0.02139633  0.02137857
 -0.01618569]"
1,Installing VS Code & How Websites Work,314.5,315.5, That's it.,119,"[ 0.00223071  0.03243634 -0.03180024 ... -0.00435087 -0.01641806
  0.03151447]"
1,Installing VS Code & How Websites Work,315.5,318.5, This is your VS code here.,120,"[-0.05461223 -0.00941594 -0.04600185 ...  0.03060939  0.01902721
  0.00961473]"
1,Installing VS Code & How Websites Work,318.5,319.5, It has started.,121,"[-0.00215805  0.03516761 -0.05095006 ...  0.01313174 -0.00598064
  0.01290677]"
1,Installing VS Code & How Websites Work,319.5,320.5, This is the VS code screen.,122,"[-0.03859236 -0.00868745 -0.06076221 ...  0.0281867   0.02615117
  0.00734829]"
1,Installing VS Code & How Websites Work,320.5,321.5, You can see here.,123,"[-0.00410549  0.02876198 -0.02686448 ...  0.01201178 -0.00697766
  0.01143686]"
1,Installing VS Code & How Websites Work,321.5,323.5, You can make a new file or a new folder.,124,"[-0.02413434  0.00327014 -0.04795401 ...  0.0050958  -0.03873931
 -0.00732169]"
1,Installing VS Code & How Websites Work,323.5,326.5, But I will recommend you to close it.,125,"[-0.04491548  0.04147073 -0.06261618 ... -0.03234131 -0.04402627
  0.0477795 ]"
1,Installing VS Code & How Websites Work,326.5,327.5," Yes, you can close it.",126,"[-0.02638151  0.02477938 -0.01314122 ... -0.01182554 -0.06546774
  0.04424981]"
1,Installing VS Code & How Websites Work,327.5,328.5, Why did you close it?,127,"[-0.03216178  0.01551293 -0.04074357 ... -0.02528148 -0.02104713
  0.01962017]"
1,Installing VS Code & How Websites Work,328.5,330.5, I am going to make a new folder here.,128,"[-0.03684848  0.0077556  -0.06083394 ...  0.01462744 -0.03265352
  0.00320885]"
1,Installing VS Code & How Websites Work,330.5,332.5, And I am going to keep its name.,129,"[-0.0385672   0.0405814  -0.05086495 ... -0.00045153 -0.01601641
  0.01708735]"
1,Installing VS Code & How Websites Work,332.5,333.5, You guessed it right.,130,"[-0.02113276  0.03890991 -0.05916416 ... -0.00256362 -0.02721127
  0.02338077]"
1,Installing VS Code & How Websites Work,333.5,336.5, Sigma Web Development Course.,131,"[-0.09700941 -0.01544914 -0.02126379 ...  0.00240157  0.01223172
  0.02604136]"
1,Installing VS Code & How Websites Work,336.5,338.5, We will do everything in this course.,132,"[ 0.00617803  0.01889971 -0.03548871 ...  0.00222031 -0.02120484
  0.05052449]"
1,Installing VS Code & How Websites Work,338.5,340.5, We will do everything.,133,"[ 0.02175029  0.03041149 -0.0250944  ... -0.00268021 -0.04114462
  0.01958221]"
1,Installing VS Code & How Websites Work,340.5,341.5, We will do everything.,134,"[ 0.02175029  0.03041149 -0.0250944  ... -0.00268021 -0.04114462
  0.01958221]"
1,Installing VS Code & How Websites Work,341.5,343.5, Understand that we will do it related to the course.,135,"[-0.00604011  0.02318189 -0.04961383 ... -0.02912167 -0.03180053
  0.01191218]"
1,Installing VS Code & How Websites Work,343.5,344.5, We will not do much.,136,"[-0.0081489   0.06148651 -0.03100281 ... -0.01092017 -0.03315289
 -0.00929591]"
1,Installing VS Code & How Websites Work,344.5,345.5, You will shift here and do it rightly.,137,"[-0.02275383  0.01143112 -0.05183949 ... -0.01618055 -0.03378252
  0.01280869]"
1,Installing VS Code & How Websites Work,345.5,346.5, If there is an app in Windows.,138,"[-0.05114741  0.01091566 -0.04807086 ... -0.00736295 -0.01506812
 -0.02054564]"
1,Installing VS Code & How Websites Work,346.5,348.5, You can see here.,139,"[-0.00410549  0.02876198 -0.02686448 ...  0.01201178 -0.00697766
  0.01143686]"
1,Installing VS Code & How Websites Work,348.5,350.5, There is an option called open with code.,140,"[-0.02821848 -0.02138681 -0.04061222 ...  0.00893392  0.01399361
 -0.02634162]"
1,Installing VS Code & How Websites Work,350.5,352.5, This option called open with code.,141,"[-0.01423503 -0.00870273 -0.0364781  ...  0.01198568  0.02879721
 -0.02258492]"
1,Installing VS Code & How Websites Work,352.5,357.5, This particular folder helps you open it in VS code.,142,"[-0.03638692 -0.00899591 -0.05773064 ...  0.03983418  0.00082038
 -0.0187349 ]"
1,Installing VS Code & How Websites Work,357.5,358.5, You will select it here.,143,"[-0.03501013  0.01901211 -0.05532912 ...  0.05459032 -0.00662948
  0.03674763]"
1,Installing VS Code & How Websites Work,358.5,360.5, Now what you will do here?,144,"[-0.02323543  0.03726921 -0.05282773 ...  0.00763835 -0.0196738
  0.0343288 ]"
1,Installing VS Code & How Websites Work,360.5,361.5," You will say yes, I trust this file.",145,"[-0.02255754 -0.01236224 -0.04578744 ...  0.00181909 -0.05346311
  0.01875746]"
1,Installing VS Code & How Websites Work,361.5,364.5," Click on this file and say yes, I trust the authors.",146,"[-0.03952113 -0.01634493 -0.04571931 ...  0.01364392 -0.02897601
 -0.01313781]"
1,Installing VS Code & How Websites Work,364.5,366.5, And this folder is now open.,147,"[-0.03077315  0.00419157 -0.0566224  ...  0.0273339  -0.02132845
 -0.00345368]"
1,Installing VS Code & How Websites Work,366.5,369.5," If I click on plus, there is a new file to be made.",148,"[-0.01748117 -0.01546384 -0.06367675 ...  0.00919468 -0.04686715
  0.00455007]"
1,Installing VS Code & How Websites Work,369.5,371.5, Suppose I wrote index.html here.,149,"[-0.05340092  0.00595204 -0.01728983 ...  0.03058298 -0.00021015
  0.00990969]"
1,Installing VS Code & How Websites Work,371.5,372.5, Write it now.,150,"[-0.02212206  0.0737254  -0.02578706 ...  0.03192181 -0.02869725
  0.00564365]"
1,Installing VS Code & How Websites Work,372.5,373.5, If you do not know what I am writing.,151,"[-0.03427261  0.04200397 -0.0429559  ... -0.01871706 -0.01593253
 -0.01565503]"
1,Installing VS Code & How Websites Work,373.5,374.5, Write it.,152,"[-0.03674668  0.05239048 -0.02462507 ...  0.0240219  -0.02522806
  0.01808355]"
1,Installing VS Code & How Websites Work,374.5,375.5, Enter it.,153,"[-0.0099033   0.0338827  -0.04435959 ... -0.00834042 -0.02031603
  0.02009046]"
1,Installing VS Code & How Websites Work,375.5,379.5, And after that what I will do is that I will write here.,154,"[-0.03229678  0.03779909 -0.01502435 ...  0.02139451 -0.01598038
  0.01857175]"
1,Installing VS Code & How Websites Work,379.5,383.5," Hey, I am your first HTML file.",155,"[-0.05619853 -0.00837881 -0.02723086 ...  0.03387339 -0.01661854
  0.02100404]"
1,Installing VS Code & How Websites Work,383.5,384.5, Suppose I wrote this.,156,"[-0.02125469  0.05787994 -0.02243196 ...  0.00151599 -0.02921708
  0.00801471]"
1,Installing VS Code & How Websites Work,384.5,386.5, Here you can see this ring.,157,"[-0.02378611  0.04241875 -0.04579748 ...  0.01857009 -0.01290446
  0.02245644]"
