number,title,start,end,text
1,Installing VS Code & How Websites Work,408.5,410.5, You can disable this option.
1,Installing VS Code & How Websites Work,410.5,413.5, I would like you to click on gear.
1,Installing VS Code & How Websites Work,413.5,414.5, Click on settings.
1,Installing VS Code & How Websites Work,414.5,416.5, And search here mouse.
1,Installing VS Code & How Websites Work,416.5,417.5, Mouse.
1,Installing VS Code & How Websites Work,417.5,419.5, Now here you see editor mouse wheel zoom.
1,Installing VS Code & How Websites Work,419.5,420.5, Check it.
1,Installing VS Code & How Websites Work,420.5,422.5, I will tell you what will happen if you check it.
1,Installing VS Code & How Websites Work,422.5,424.5, Just close it by checking it.
1,Installing VS Code & How Websites Work,424.5,426.5, Now you do not have to be afraid.
1,Installing VS Code & How Websites Work,426.5,427.5, What is VS code?
1,Installing VS Code & How Websites Work,427.5,428.5, How is VS code?
1,Installing VS Code & How Websites Work,428.5,429.5, What is this?
1,Installing VS Code & How Websites Work,429.5,430.5, What is this?
1,Installing VS Code & How Websites Work,430.5,431.5, What is this news?
1,Installing VS Code & How Websites Work,431.5,432.5, But you do not have to see this.
1,Installing VS Code & How Websites Work,432.5,436.5, Now you will simply scroll by pressing control.
1,Installing VS Code & How Websites Work,436.5,439.5, So what happens is that your font size changes.
1,Installing VS Code & How Websites Work,439.5,441.5, Now I will show you a magic.
1,Installing VS Code & How Websites Work,441.5,443.5, It is a very simple logic.
1,Installing VS Code & How Websites Work,443.5,448.5," In the downloads, what happened in the folder called sigma web development course?"
1,Installing VS Code & How Websites Work,448.5,449.5, What happened?
1,Installing VS Code & How Websites Work,449.5,450.5, This file was created.
1,Installing VS Code & How Websites Work,450.5,451.5, Index.html.
1,Installing VS Code & How Websites Work,451.5,453.5, Which is very natural.
1,Installing VS Code & How Websites Work,453.5,456.5, Because I have opened this folder in VS code.
1,Installing VS Code & How Websites Work,456.5,458.5, Because I have opened this folder in VS code.
1,Installing VS Code & How Websites Work,458.5,460.5, This file is also made here.
1,Installing VS Code & How Websites Work,460.5,461.5, I will make another file here.
1,Installing VS Code & How Websites Work,461.5,463.5, I will make a file called this.txt.
1,Installing VS Code & How Websites Work,463.5,465.5, I will write this is this.
1,Installing VS Code & How Websites Work,465.5,466.5, So what will happen?
1,Installing VS Code & How Websites Work,466.5,467.5, This file will also be created here.
1,Installing VS Code & How Websites Work,467.5,468.5, You can see.
1,Installing VS Code & How Websites Work,468.5,471.5, So this folder and this VS code are both in sync.
1,Installing VS Code & How Websites Work,471.5,473.5, Now I will open this file from here with notepad.
1,Installing VS Code & How Websites Work,473.5,474.5, And I will show you.
1,Installing VS Code & How Websites Work,474.5,476.5, This file will be opened in notepad.
1,Installing VS Code & How Websites Work,476.5,477.5, So I can do that too.
1,Installing VS Code & How Websites Work,477.5,478.5, That is also my wish.
1,Installing VS Code & How Websites Work,478.5,480.5, But I will not use notepad.
1,Installing VS Code & How Websites Work,480.5,483.5, Because there are some things in VS code that do not give me notepad.
1,Installing VS Code & How Websites Work,483.5,486.5, And I want me to get those features.
1,Installing VS Code & How Websites Work,486.5,488.5, I do not want to overrun you.
1,Installing VS Code & How Websites Work,488.5,493.5, But I will show you that what is there in VS code that you do not get in notepad.
1,Installing VS Code & How Websites Work,493.5,494.5, If I write here.
1,Installing VS Code & How Websites Work,494.5,495.5, Hit html.
1,Installing VS Code & How Websites Work,495.5,499.5," If I hit enter, it automatically gives me the opening closing tag."
1,Installing VS Code & How Websites Work,499.5,501.5, If I hit the exclamation mark here.
1,Installing VS Code & How Websites Work,501.5,503.5, It gives me a boilerplate template.
1,Installing VS Code & How Websites Work,503.5,507.5," If I click on this, then see the basic code of html came here."
1,Installing VS Code & How Websites Work,507.5,509.5, We will discuss about this later.
1,Installing VS Code & How Websites Work,509.5,511.5, You do not get overwhelmed at all.
1,Installing VS Code & How Websites Work,511.5,513.5, But as I want to tell you that.
1,Installing VS Code & How Websites Work,513.5,516.5, What kind of profit did this VS code get?
1,Installing VS Code & How Websites Work,516.5,518.5, Why did we not use notepad or VS code?
1,Installing VS Code & How Websites Work,518.5,519.5, And this feels.
1,Installing VS Code & How Websites Work,519.5,520.5, It feels so good.
1,Installing VS Code & How Websites Work,520.5,522.5, It feels like a developer.
1,Installing VS Code & How Websites Work,522.5,523.5, It feels like a hacker.
1,Installing VS Code & How Websites Work,523.5,524.5, That feel is also important.
1,Installing VS Code & How Websites Work,524.5,526.5, Then there will be a confidence to do coding.
1,Installing VS Code & How Websites Work,526.5,528.5, Now for Mac and Linux users.
1,Installing VS Code & How Websites Work,528.5,532.5, I want to comment on something exactly similar for you.
1,Installing VS Code & How Websites Work,532.5,534.5, I am using windows because I do not have windows laptop.
1,Installing VS Code & How Websites Work,534.5,536.5, I cannot use 3 laptops.
1,Installing VS Code & How Websites Work,536.5,537.5," Linux, Mac and windows 3."
1,Installing VS Code & How Websites Work,537.5,539.5, I cannot use them all together.
1,Installing VS Code & How Websites Work,539.5,541.5, So exactly the same things will remain for you.
1,Installing VS Code & How Websites Work,541.5,544.5," In fact, I should say that similar things will remain."
1,Installing VS Code & How Websites Work,544.5,546.5, Exactly the same things will remain very similar.
1,Installing VS Code & How Websites Work,546.5,549.5," Okay, so you will be able to follow along very easily."
1,Installing VS Code & How Websites Work,549.5,550.5, So do not take tension at all.
1,Installing VS Code & How Websites Work,550.5,552.5, I will tell you about some extensions.
1,Installing VS Code & How Websites Work,552.5,554.5, In a little while and you will enjoy.
1,Installing VS Code & How Websites Work,554.5,556.5, Use those extensions and you will also say.
1,Installing VS Code & How Websites Work,556.5,557.5, It was fun.
1,Installing VS Code & How Websites Work,557.5,558.5, What did you recommend?
1,Installing VS Code & How Websites Work,558.5,560.5, But I will tell you in a little while.
1,Installing VS Code & How Websites Work,560.5,562.5, And this is criminally underrated.
1,Installing VS Code & How Websites Work,562.5,564.5, I am telling you that you will enjoy.
1,Installing VS Code & How Websites Work,564.5,566.5, I would like to tell you about that too.
1,Installing VS Code & How Websites Work,566.5,567.5, You will do it here.
1,Installing VS Code & How Websites Work,567.5,568.5, You will do it right.
1,Installing VS Code & How Websites Work,568.5,569.5, You will click on command palette.
1,Installing VS Code & How Websites Work,569.5,571.5, There are many options for VS code here.
1,Installing VS Code & How Websites Work,571.5,574.5, You do not need to know all these options.
1,Installing VS Code & How Websites Work,574.5,576.5, As we will move forward in the course.
1,Installing VS Code & How Websites Work,576.5,578.5, The features that will come in use.
1,Installing VS Code & How Websites Work,578.5,581.5, I will tell you about them.
1,Installing VS Code & How Websites Work,581.5,583.5, And you can use them.
1,Installing VS Code & How Websites Work,583.5,585.5, But what I will do here now.
1,Installing VS Code & How Websites Work,585.5,587.5, I will toggle the screencast mode.
1,Installing VS Code & How Websites Work,587.5,588.5, You do not have to do this.
1,Installing VS Code & How Websites Work,588.5,589.5, But I will do it.
1,Installing VS Code & How Websites Work,589.5,590.5, So you will know.
1,Installing VS Code & How Websites Work,590.5,591.5, I clicked.
1,Installing VS Code & How Websites Work,591.5,593.5, So you see I will type anything.
1,Installing VS Code & How Websites Work,593.5,594.5, If I press caps lock.
1,Installing VS Code & How Websites Work,594.5,595.5, Then it will click caps lock here.
1,Installing VS Code & How Websites Work,595.5,598.5, So you will know when I pressed any button.
1,Installing VS Code & How Websites Work,598.5,601.5, Now this thing is not relevant for you.
1,Installing VS Code & How Websites Work,601.5,603.5, But I just want to tell you that.
1,Installing VS Code & How Websites Work,603.5,604.5, Screencast mode.
1,Installing VS Code & How Websites Work,604.5,606.5, Screencast mode.
1,Installing VS Code & How Websites Work,606.5,609.5, We can change its settings from here.
1,Installing VS Code & How Websites Work,609.5,612.5, Now here you see the vertical offset of screencast mode.
1,Installing VS Code & How Websites Work,612.5,613.5, What does vertical offset mean?
1,Installing VS Code & How Websites Work,613.5,615.5, If I zero the vertical offset.
1,Installing VS Code & How Websites Work,615.5,616.5, Then it is up.
1,Installing VS Code & How Websites Work,616.5,618.5, If I set vertical offset to 70.
1,Installing VS Code & How Websites Work,618.5,619.5, Then it is down.
1,Installing VS Code & How Websites Work,619.5,621.5, I will set it to 60.
1,Installing VS Code & How Websites Work,621.5,622.5, If I set it to 60.
1,Installing VS Code & How Websites Work,622.5,624.5, If I set it to 80.
1,Installing VS Code & How Websites Work,624.5,626.5, Then it is up.
1,Installing VS Code & How Websites Work,626.5,628.5, From bottom.
1,Installing VS Code & How Websites Work,628.5,629.5, How much will it look up.
1,Installing VS Code & How Websites Work,629.5,630.5, I have set it to zero.
1,Installing VS Code & How Websites Work,630.5,632.5, In fact I have set it to one.
1,Installing VS Code & How Websites Work,632.5,633.5, Now I will type anything.
1,Installing VS Code & How Websites Work,633.5,634.5, I have set it to this.
1,Installing VS Code & How Websites Work,634.5,635.5, It will look down.
1,Installing VS Code & How Websites Work,635.5,636.5, Which is ideal.
1,Installing VS Code & How Websites Work,636.5,638.5, So I will close this.txt file.
1,Installing VS Code & How Websites Work,638.5,640.5, I will close the settings tab.
1,Installing VS Code & How Websites Work,640.5,641.5, These are tabs.
1,Installing VS Code & How Websites Work,641.5,643.5, Basically they are tabs in chrome.
1,Installing VS Code & How Websites Work,643.5,645.5, They are tabs exactly.
1,Installing VS Code & How Websites Work,645.5,647.5, So I hope you have understood what it is.
1,Installing VS Code & How Websites Work,647.5,649.5, What we have written about it.
1,Installing VS Code & How Websites Work,649.5,650.5, I have forgotten.
1,Installing VS Code & How Websites Work,650.5,651.5, I will tell you step by step.
1,Installing VS Code & How Websites Work,651.5,653.5, Exactly what is it.
1,Installing VS Code & How Websites Work,653.5,655.5, You can also close the welcome page of VS Code.
1,Installing VS Code & How Websites Work,655.5,658.5, By any chance if you are zooming in VS Code.
1,Installing VS Code & How Websites Work,658.5,659.5, Which I will do.
1,Installing VS Code & How Websites Work,659.5,660.5, Because I am recording video.
1,Installing VS Code & How Websites Work,660.5,661.5, Add control plus.
1,Installing VS Code & How Websites Work,661.5,662.5, Add numpad plus.
1,Installing VS Code & How Websites Work,662.5,663.5, Look down.
1,Installing VS Code & How Websites Work,663.5,664.5, I have shown you.
1,Installing VS Code & How Websites Work,664.5,665.5, I am zooming in.
1,Installing VS Code & How Websites Work,665.5,667.5, I am zooming in because I am recording videos.
1,Installing VS Code & How Websites Work,667.5,669.5, So ideally I want you to see from the side.
1,Installing VS Code & How Websites Work,669.5,671.5, But when I am coding.
1,Installing VS Code & How Websites Work,671.5,673.5, I don't zoom in that much.
1,Installing VS Code & How Websites Work,673.5,674.5, So you have to keep this in mind.
1,Installing VS Code & How Websites Work,674.5,676.5, So these are related things from VS Code.
1,Installing VS Code & How Websites Work,676.5,680.5, I want to tell you how websites work.
1,Installing VS Code & How Websites Work,680.5,684.5, A website basically works through three types of people.
1,Installing VS Code & How Websites Work,684.5,685.5, Imagine three people.
1,Installing VS Code & How Websites Work,685.5,687.5, One is Client.
1,Installing VS Code & How Websites Work,687.5,688.5, One is Server.
1,Installing VS Code & How Websites Work,688.5,690.5, Who is Client?
1,Installing VS Code & How Websites Work,690.5,691.5, Who is the second?
1,Installing VS Code & How Websites Work,691.5,692.5, Server.
1,Installing VS Code & How Websites Work,692.5,693.5, Who is the third?
1,Installing VS Code & How Websites Work,693.5,694.5, Browser.
1,Installing VS Code & How Websites Work,694.5,696.5, Who is also called Babu.
1,Installing VS Code & How Websites Work,696.5,698.5, Browser.
1,Installing VS Code & How Websites Work,698.5,699.5, So Browser.
1,Installing VS Code & How Websites Work,699.5,700.5, Client.
1,Installing VS Code & How Websites Work,700.5,701.5, Server.
1,Installing VS Code & How Websites Work,701.5,702.5, What is this Client?
1,Installing VS Code & How Websites Work,702.5,703.5, What is this Server?
1,Installing VS Code & How Websites Work,703.5,704.5, Client who me?
1,Installing VS Code & How Websites Work,704.5,705.5, You.
1,Installing VS Code & How Websites Work,705.5,706.5, We all.
1,Installing VS Code & How Websites Work,706.5,708.5, Who is the browser?
1,Installing VS Code & How Websites Work,708.5,709.5, Who is the browser?
1,Installing VS Code & How Websites Work,709.5,710.5, This is Chrome.
1,Installing VS Code & How Websites Work,710.5,711.5, Hello Chrome.
1,Installing VS Code & How Websites Work,711.5,712.5, I am Client.
1,Installing VS Code & How Websites Work,712.5,713.5, I will tell you from Client.
1,Installing VS Code & How Websites Work,713.5,714.5, When I write codewithherry.com.
1,Installing VS Code & How Websites Work,714.5,716.5, Suppose I write codewithherry.com.
1,Installing VS Code & How Websites Work,716.5,718.5, So basically what I say?
1,Installing VS Code & How Websites Work,718.5,721.5, I say from this browser.
1,Installing VS Code & How Websites Work,721.5,724.5," That by doing this, give me codewithherry.com website."
1,Installing VS Code & How Websites Work,724.5,727.5, Or if I write here youtube.com.
1,Installing VS Code & How Websites Work,727.5,730.5, I say give me youtube.com website.
1,Installing VS Code & How Websites Work,730.5,731.5, I say browser.
1,Installing VS Code & How Websites Work,731.5,733.5, Give me youtube.com.
1,Installing VS Code & How Websites Work,733.5,736.5, I want to watch youtube.
1,Installing VS Code & How Websites Work,736.5,738.5, Browser says you want youtube.
1,Installing VS Code & How Websites Work,738.5,739.5, Take it.
1,Installing VS Code & How Websites Work,739.5,742.5, So I will enter youtube.com.
1,Installing VS Code & How Websites Work,742.5,745.5, So from server.com.
1,Installing VS Code & How Websites Work,745.5,746.5, Bring youtube.com.
1,Installing VS Code & How Websites Work,746.5,747.5, Do you understand?
1,Installing VS Code & How Websites Work,747.5,749.5, From server.com.
1,Installing VS Code & How Websites Work,749.5,750.5, Bring youtube.com.
1,Installing VS Code & How Websites Work,750.5,753.5, He passed it and showed me this screen.
1,Installing VS Code & How Websites Work,753.5,755.5, This work happened so fast.
1,Installing VS Code & How Websites Work,755.5,759.5, Because my internet.com is very fast.
1,Installing VS Code & How Websites Work,759.5,760.5, It is so less.
1,Installing VS Code & How Websites Work,760.5,762.5, Nowadays people are faster.
1,Installing VS Code & How Websites Work,762.5,764.5, But still according to my locality.
1,Installing VS Code & How Websites Work,764.5,765.5, It is very fast.
1,Installing VS Code & How Websites Work,765.5,767.5, So with this fast internet speed.
1,Installing VS Code & How Websites Work,767.5,770.5, All these things are very fast.
1,Installing VS Code & How Websites Work,770.5,773.5, So Client server sends a request through browser.
1,Installing VS Code & How Websites Work,773.5,775.5, Browser is my assistant.
1,Installing VS Code & How Websites Work,775.5,777.5, I will do the same with browser.
1,Installing VS Code & How Websites Work,777.5,781.5, It will help me to bring this web page from server.
1,Installing VS Code & How Websites Work,781.5,782.5, Who is managing the server?
1,Installing VS Code & How Websites Work,782.5,785.5, They are managing the server of youtube.com.
1,Installing VS Code & How Websites Work,785.5,786.5, They are managing the server of youtube.com.
1,Installing VS Code & How Websites Work,786.5,788.5, And there is some code written in that server.
1,Installing VS Code & How Websites Work,788.5,791.5, Which sends me this kind of code.
1,Installing VS Code & How Websites Work,791.5,792.5, When I write youtube.com.
1,Installing VS Code & How Websites Work,792.5,793.5, This code came.
1,Installing VS Code & How Websites Work,793.5,795.5, How to convert this code into this?
1,Installing VS Code & How Websites Work,795.5,796.5, This is for browser.
